#,CAS Number,SMILES
1,373-91-1,FOC(F)(F)F
2,98-01-1,O=Cc1ccco1
3,476-46-0,Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1O
4,98-55-5,CC1CCC(CC=1)C(C)(C)O
5,155-09-9,N[C@@H]1C[C@H]1c1ccccc1
6,61-57-4,[O-][N+](=O)c1cnc(s1)N1CCNC1=O
7,84-15-1,c1ccc(cc1)-c1ccccc1-c1ccccc1
8,106-44-5,Cc1ccc(O)cc1
9,42509-80-8,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C
10,28575-17-9,CCc1ccc(cc1)-c1ccc(CC)cc1
11,60223-52-1,COc1ccc2c(c1)c1cc(OC)ccc1c1c3ccc(OC)cc3c3cc(OC)ccc3c21
12,15299-08-8,Cc1ccc2c(c1)c1cc3ccccc3c3cc4ccccc4c2c31
13,102-32-9,OC(=O)Cc1ccc(O)c(O)c1
14,1120-36-1,CCCCCCCCCCCCC=C
15,158729-31-8,CN(C)CCNS(=O)(=O)c1cccc2cccnc21
16,15121-84-3,OCCc1ccccc1[N+]([O-])=O
17,4568-28-9,OCC[NH+](CCO)CCO.CCCCCCCCCCCCCCCCCC([O-])=O
18,110963-29-6,NNC(=O)c1[nH]c2ccccc2c1N
19,100-46-9,NCc1ccccc1
20,1455-77-2,Nc1nnc(N)[nH]1
21,26741-53-7,CC(C)(C)c1ccc(OP2OCC3(CO2)COP(OC3)Oc2ccc(cc2C(C)(C)C)C(C)(C)C)c(c1)C(C)(C)C
22,144-21-8,[Na+].[Na+].C[As]([O-])([O-])=O
23,786-66-3,O=C1CCc2c1ccc1c2ccc2ccccc21
24,33175-34-7,ONc1ccc(Cl)c(Cl)c1
25,23031-38-1,C\C(C)=C/[C@H]1[C@H](C(=O)OCc2ccc(CC#C)o2)C1(C)C
26,111-03-5,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO
27,80440-44-4,O=C1c2cccc3cccc(-c4ccc5ccccc5c14)c32
28,389104-56-7,CCc1c(N)ccc2c1Cc1ccccc1-2
29,2314-97-8,FC(F)(F)I
30,591-62-8,CCCCNC(=O)OCC
31,54755-21-4,Cc1ccc2cccc(c2c1)[N+]([O-])=O
32,301-12-2,CC[S+]([O-])CCSP(=O)(OC)OC
33,77-78-1,COS(=O)(=O)OC
34,96-50-4,Nc1nccs1
35,345667-58-5,CC(C)c1ccc(C=Cc2ccc(N)cc2)cc1
36,5275-46-7,CC(C)(N=O)[N+]([O-])=O
37,5273-86-9,COc1cc(OC)c(\C=C\C)cc1OC
38,60448-19-3,O1C2C1c1c3ccccc3cc3ccc4cccc2c4c31
39,16561-29-8,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C2C=C(C)C3=O)C2C(C)(C)C12OC(C)=O
40,126222-34-2,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
41,627-11-2,ClCCOC(Cl)=O
42,3132-64-7,BrC[C@@H]1CO1
43,616-23-9,OCC(Cl)CCl
44,49852-84-8,ClCc1c2ccccc2c2ccc3cccc4ccc1c2c43
45,5443-49-2,Br\C(C=O)=C/c1ccccc1
46,1229-35-2,CN1CCC(C1)CN1c2ccccc2Sc2ccccc12
47,106686-63-9,COC\C(OC)=C\c1ccccc1
48,121153-49-9,O[C@@H]1C=C[C@H]2O[C@@H]2[C@@H]1O
49,114460-41-2,CCc1nc2c(ccc3ccc4ccc(O)cc4c32)[nH]1
50,869-01-2,CCCCN(N=O)C(N)=O
51,7251-61-8,Cc1cnc2ccccc2n1
52,135577-57-0,Cn1c(N=[N+]=[N-])nc2ncc(cc21)-c1ccccc1
53,6606-59-3,CC(=C)C(=O)OCCCCCCOC(=O)C(C)=C
54,189-55-9,c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34
55,50700-49-7,CC(=O)\N=C1/C=CC(=O)C=C1
56,614-48-2,[O-][N+](=O)c1cccc(\C=C\C(=O)c2ccccc2)c1
57,50649-06-4,OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)COc1ccc(Cl)cc1Cl
58,138805-29-5,Cc1ccc(N)cc1N=Nc1cc(N)ccc1C
59,Invalid CAS number: 0-22-1,C[C@H](S)C(=O)NCC(O)=O
60,15386-58-0,Clc1ccc(cc1Cl)N1C(=O)CCC1=O
61,50330-59-1,CN(C)C(=O)c1nc2CN=C(c3ccccc3Cl)c3cc(Cl)ccc3-n2n1
62,93-05-0,CCN(CC)c1ccc(N)cc1
63,119-65-3,c1ccc2cnccc2c1
64,24325-70-0,Cc1ccc(C=Cc2ccc(cc2)[N+]([O-])=O)cc1
65,63018-94-0,Cc1ccc2c(C)c3ccccc3c(C)c2c1
66,24423-85-6,CCOC(=O)N(CC(C)C)N=O
67,6-02-0,CCCCOc1ccc2nc3cc(Cl)ccc3c(NCCCN(CC)CCCl)c2n1
68,59820-43-8,OCCNc1ccc(cc1OCCO)[N+]([O-])=O
69,578-66-5,Nc1cccc2cccnc12
70,65176-75-2,COc1cc(O)c2C(=O)c3c(OC)cc4OC5OC=CC5c4c3Oc2c1OC
71,4350-09-8,NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O
72,63531-81-7,CC(=O)OCN(Cc1ccccc1)N=O
73,80789-74-8,[Na+].[O-]S(=O)(=O)c1ccc2NC(=O)C(=O)c2c1
74,1972-08-3,CCCCCc1cc(O)c2C3C=C(C)CCC3C(C)(C)Oc2c1
75,4345-03-3,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(=O)CCC(O)=O)c(C)c(C)c2O1
76,218-01-9,c1ccc2c(c1)ccc1c3ccccc3ccc21
77,75-99-0,CC(Cl)(Cl)C(O)=O
78,73-31-4,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
79,Invalid CAS number: 0-15-6,C1O[C@H]1COc1cccc(OC[C@H]2CO2)c1
80,944-22-9,CCOP(=S)(CC)Sc1ccccc1
81,151-10-0,COc1cccc(OC)c1
82,99-71-8,CCC(C)c1ccc(O)cc1
83,67508-85-4,CCC1(O)CC(OC2CC(N)C(O)C(C)O2)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3cc2C1C(=O)OC
84,112-44-7,CCCCCCCCCCC=O
85,107-46-0,C[Si](C)(C)O[Si](C)(C)C
86,Invalid CAS number: 6-01-6,COc1ccc2nc3cc(Cl)ccc3c(NCCCNCCCl)c2n1
87,279242-17-0,CC(C)(C)c1ccc(cc1)-c1ccc(cc1)N=O
88,56438-59-6,COc1ccc(CC[C@@H]2CO2)cc1
89,43192-03-6,Cc1ccc(NO)cc1[N+]([O-])=O
90,13177-28-1,[O-][N+](=O)c1ccc2cccc3c4ccccc4c1c23
91,93-27-6,COc1cc(ccc1NC(C)=O)[N+]([O-])=O
